channel,date,duration_female,duration_male,duration_noise,duration_music,total_duration,pct_female,pct_male,media_type
TF1,1995-01-01,3476.3,7305.6,602.9,175.1,10781.9,32.24,67.76,tv
TF1,1995-01-08,921.4,2084.5,70.6,134.2,3005.9,30.65,69.35,tv
TF1,1995-01-15,411.6,766.2,92.1,51.0,1177.9,34.95,65.05,tv
TF1,1995-01-22,1239.9,2526.7,116.4,65.3,3766.6,32.92,67.08,tv
TF1,1995-01-29,2127.4,4603.9,252.2,232.1,6731.3,31.6,68.4,tv
TF1,1995-02-05,729.7,2053.5,104.4,68.6,2783.2,26.22,73.78,tv
TF1,1995-02-12,1246.4,2349.2,182.9,121.2,3595.6,34.66,65.34,tv
TF1,1995-02-19,464.8,1062.3,86.2,25.7,1527.1,30.44,69.56,tv
TF1,1995-02-26,2990.3,7146.8,470.5,150.9,10137.1,29.5,70.5,tv
TF1,1995-03-05,2296.0,5288.9,167.3,351.7,7584.9,30.27,69.73,tv
TF1,1995-03-12,1688.6,3419.5,261.6,162.8,5108.1,33.06,66.94,tv
TF1,1995-03-19,949.0,2446.6,265.4,139.2,3395.5,27.95,72.05,tv
TF1,1995-03-26,688.0,1406.6,66.5,24.7,2094.6,32.85,67.15,tv
TF1,1995-04-02,1663.2,3628.8,229.3,110.4,5292.0,31.43,68.57,tv
TF1,1995-04-09,1400.7,3291.9,246.7,73.4,4692.6,29.85,70.15,tv
TF1,1995-04-16,3946.2,7783.5,287.1,580.3,11729.7,33.64,66.36,tv
TF1,1995-04-23,285.6,688.9,67.2,37.3,974.5,29.31,70.69,tv
TF1,1995-04-30,3494.2,7247.4,711.9,139.2,10741.6,32.53,67.47,tv
TF1,1995-05-07,3627.7,8924.2,720.5,291.7,12551.9,28.9,71.1,tv
TF1,1995-05-14,531.4,1226.6,68.0,40.4,1758.0,30.23,69.77,tv
TF1,1995-05-21,4253.6,8623.8,622.4,190.4,12877.4,33.03,66.97,tv
TF1,1995-05-28,3620.9,6907.9,691.2,341.7,10528.8,34.39,65.61,tv
TF1,1995-06-04,2459.5,5497.4,363.3,87.7,7956.9,30.91,69.09,tv
TF1,1995-06-11,822.7,1533.8,51.6,83.6,2356.5,34.91,65.09,tv
TF1,1995-06-18,4107.3,9044.8,459.8,347.4,13152.1,31.23,68.77,tv
TF1,1995-06-25,2889.4,8210.5,374.4,145.2,11099.9,26.03,73.97,tv
TF1,1995-07-02,3897.9,9553.0,921.2,475.3,13450.9,28.98,71.02,tv
TF1,1995-07-09,3767.2,8897.5,864.0,221.2,12664.7,29.75,70.25,tv
TF1,1995-07-16,3686.8,8113.7,870.5,268.1,11800.4,31.24,68.76,tv
TF1,1995-07-23,797.3,1588.4,80.3,64.6,2385.7,33.42,66.58,tv
TF1,1995-07-30,315.5,678.4,50.3,26.5,993.9,31.74,68.26,tv
TF1,1995-08-06,1234.0,2664.5,106.0,91.6,3898.5,31.65,68.35,tv
TF1,1995-08-13,2418.3,5485.4,491.5,194.0,7903.7,30.6,69.4,tv
TF1,1995-08-20,4487.5,9531.5,1089.9,281.4,14019.1,32.01,67.99,tv
TF1,1995-08-27,1243.4,3501.9,105.4,163.2,4745.3,26.2,73.8,tv
TF1,1995-09-03,2377.6,5308.5,177.5,162.5,7686.2,30.93,69.07,tv
TF1,1995-09-10,871.7,1984.4,141.0,141.2,2856.1,30.52,69.48,tv
TF1,1995-09-17,1323.4,2844.3,251.4,168.6,4167.7,31.75,68.25,tv
TF1,1995-09-24,1934.2,3930.9,339.8,207.3,5865.1,32.98,67.02,tv
TF1,1995-10-01,2336.3,5796.6,206.7,353.1,8133.0,28.73,71.27,tv
TF1,1995-10-08,413.7,1036.7,80.4,53.8,1450.5,28.52,71.48,tv
TF1,1995-10-15,332.5,791.4,57.0,21.4,1123.9,29.58,70.42,tv
TF1,1995-10-22,2899.0,7328.7,441.9,485.5,10227.7,28.34,71.66,tv
TF1,1995-10-29,887.2,1869.4,111.5,40.1,2756.5,32.18,67.82,tv
TF1,1995-11-05,3941.8,7990.7,636.1,372.1,11932.5,33.03,66.97,tv
TF1,1995-11-12,1163.0,3002.0,106.6,191.1,4165.0,27.92,72.08,tv
TF1,1995-11-19,1733.4,3743.5,224.3,213.8,5476.9,31.65,68.35,tv
TF1,1995-11-26,4287.7,8723.3,952.7,536.0,13011.0,32.95,67.05,tv
TF1,1995-12-03,903.0,2179.0,227.8,105.6,3082.0,29.3,70.7,tv
TF1,1995-12-10,323.4,700.7,26.7,37.4,1024.2,31.58,68.42,tv
TF1,1995-12-17,3460.0,6241.5,324.6,373.4,9701.5,35.66,64.34,tv
TF1,1995-12-24,1320.5,2782.4,162.2,163.5,4102.9,32.18,67.82,tv
TF1,1995-12-31,3266.6,6511.2,529.0,134.4,9777.8,33.41,66.59,tv
TF1,1996-01-07,1885.7,3978.4,210.6,115.9,5864.2,32.16,67.84,tv
TF1,1996-01-14,4003.4,8939.2,749.0,540.9,12942.6,30.93,69.07,tv
TF1,1996-01-21,2457.7,5227.9,419.7,228.3,7685.6,31.98,68.02,tv
TF1,1996-01-28,1533.3,3157.2,100.7,168.0,4690.4,32.69,67.31,tv
TF1,1996-02-04,953.8,2337.2,251.5,158.5,3291.0,28.98,71.02,tv
TF1,1996-02-11,338.9,769.8,83.9,30.1,1108.7,30.57,69.43,tv
TF1,1996-02-18,4590.9,9358.9,1085.5,615.5,13949.8,32.91,67.09,tv
TF1,1996-02-25,3594.2,8796.2,483.4,207.9,12390.3,29.01,70.99,tv
TF1,1996-03-03,2301.0,6115.8,641.1,318.5,8416.8,27.34,72.66,tv
TF1,1996-03-10,2661.0,6541.6,730.7,143.6,9202.6,28.92,71.08,tv
TF1,1996-03-17,2488.4,5409.0,573.7,313.0,7897.5,31.51,68.49,tv
TF1,1996-03-24,1946.4,3806.7,216.4,243.8,5753.1,33.83,66.17,tv
TF1,1996-03-31,3996.0,7840.6,852.5,550.7,11836.5,33.76,66.24,tv
TF1,1996-04-07,3784.8,7892.2,688.9,444.6,11677.0,32.41,67.59,tv
TF1,1996-04-14,4745.4,6897.8,854.6,273.8,11643.2,40.76,59.24,tv
TF1,1996-04-21,2541.8,6165.0,192.9,249.2,8706.8,29.19,70.81,tv
TF1,1996-04-28,2511.5,5714.2,305.9,276.7,8225.7,30.53,69.47,tv
TF1,1996-05-05,783.2,1832.2,134.3,106.7,2615.3,29.95,70.05,tv
TF1,1996-05-12,1290.8,2522.8,218.8,51.2,3813.6,33.85,66.15,tv
TF1,1996-05-19,2561.1,5637.4,477.5,320.1,8198.6,31.24,68.76,tv
TF1,1996-05-26,4151.3,9922.7,717.5,322.6,14074.0,29.5,70.5,tv
TF1,1996-06-02,2011.7,4814.4,168.7,75.2,6826.1,29.47,70.53,tv
TF1,1996-06-09,4621.2,9274.6,974.9,525.8,13895.8,33.26,66.74,tv
TF1,1996-06-16,847.1,2164.8,105.5,96.3,3011.9,28.12,71.88,tv
TF1,1996-06-23,3194.6,7352.5,628.7,223.6,10547.0,30.29,69.71,tv
TF1,1996-06-30,2391.5,4173.1,228.9,159.1,6564.6,36.43,63.57,tv
TF1,1996-07-07,3751.8,7379.1,232.2,163.0,11130.9,33.71,66.29,tv
TF1,1996-07-14,2353.6,4947.8,188.9,216.6,7301.3,32.23,67.77,tv
TF1,1996-07-21,2410.8,4881.1,221.6,199.5,7291.9,33.06,66.94,tv
TF1,1996-07-28,3335.3,6138.4,215.2,236.7,9473.8,35.21,64.79,tv
TF1,1996-08-04,2575.6,6773.5,469.2,413.8,9349.1,27.55,72.45,tv
TF1,1996-08-11,531.2,1321.5,108.5,20.5,1852.7,28.67,71.33,tv
TF1,1996-08-18,2843.2,5964.7,673.1,290.8,8808.0,32.28,67.72,tv
TF1,1996-08-25,2486.6,4599.8,373.7,337.7,7086.4,35.09,64.91,tv
TF1,1996-09-01,1713.3,4399.1,474.8,282.5,6112.4,28.03,71.97,tv
TF1,1996-09-08,592.3,1268.7,72.8,81.5,1861.0,31.83,68.17,tv
