channel,year,pct_female_presence,pct_female_speech,pct_female_experts,pct_female_journalists,media_type
TF1,2016,43.3,39.3,36.8,48.1,tv
TF1,2017,40.5,37.8,34.9,43.8,tv
TF1,2018,39.1,37.0,30.5,46.3,tv
TF1,2019,39.7,34.8,32.7,49.6,tv
TF1,2020,38.9,34.7,32.9,47.3,tv
France 2,2016,43.9,40.2,35.9,42.8,tv
France 2,2017,39.1,34.5,29.9,53.2,tv
France 2,2018,38.4,32.8,31.2,50.2,tv
France 2,2019,36.9,34.5,26.1,44.4,tv
France 2,2020,38.5,34.3,27.8,44.6,tv
France 3,2016,39.6,36.2,29.3,45.0,tv
France 3,2017,40.6,37.3,34.5,44.9,tv
France 3,2018,34.8,29.5,28.7,45.4,tv
France 3,2019,40.3,34.3,32.1,45.6,tv
France 3,2020,35.8,31.5,24.5,48.1,tv
M6,2016,47.6,45.4,40.1,48.8,tv
M6,2017,37.1,33.7,26.7,44.5,tv
M6,2018,37.7,34.4,28.2,44.4,tv
M6,2019,36.6,31.0,26.2,45.6,tv
M6,2020,37.1,32.7,28.5,49.0,tv
Arte,2016,32.0,28.8,26.8,47.9,tv
Arte,2017,33.8,29.6,24.9,43.6,tv
Arte,2018,30.6,28.3,18.7,45.3,tv
Arte,2019,37.7,31.8,29.7,39.6,tv
Arte,2020,38.9,34.6,27.9,40.0,tv
France 5,2016,37.8,32.6,27.7,43.7,tv
France 5,2017,36.1,32.7,27.1,46.3,tv
France 5,2018,38.5,33.8,32.4,40.3,tv
France 5,2019,37.4,35.0,31.2,44.8,tv
France 5,2020,36.8,33.9,26.5,48.5,tv
BFM TV,2016,39.2,35.3,30.0,44.6,tv
BFM TV,2017,36.7,32.2,31.4,45.0,tv
BFM TV,2018,39.1,36.2,31.4,41.1,tv
BFM TV,2019,42.9,40.9,31.1,53.4,tv
BFM TV,2020,43.5,39.3,32.4,47.0,tv
CNews,2016,44.6,42.0,36.6,48.0,tv
CNews,2017,35.4,31.7,29.3,46.9,tv
CNews,2018,43.4,41.0,32.8,46.1,tv
CNews,2019,45.9,43.1,37.9,50.3,tv
CNews,2020,37.8,32.8,28.9,44.6,tv
LCI,2016,33.5,28.2,24.3,44.8,tv
LCI,2017,40.0,35.6,29.6,47.2,tv
LCI,2018,37.1,32.1,30.8,46.2,tv
LCI,2019,41.8,37.8,30.9,37.1,tv
LCI,2020,39.8,36.0,31.9,48.0,tv
Canal+,2016,36.7,34.3,26.7,43.6,tv
Canal+,2017,31.2,26.5,20.5,47.8,tv
Canal+,2018,35.1,29.9,24.7,45.2,tv
Canal+,2019,42.0,38.5,35.2,45.1,tv
Canal+,2020,40.1,36.1,30.6,48.2,tv
TMC,2016,39.0,33.1,31.8,45.5,tv
TMC,2017,36.4,34.3,31.0,48.3,tv
TMC,2018,39.4,35.6,33.5,45.4,tv
TMC,2019,36.4,34.3,25.4,49.8,tv
TMC,2020,41.8,38.4,31.2,42.9,tv
W9,2016,38.5,34.3,32.7,49.6,tv
W9,2017,33.5,29.4,22.2,40.2,tv
W9,2018,34.7,29.5,26.8,41.2,tv
W9,2019,39.6,35.3,34.2,44.9,tv
W9,2020,31.8,26.6,22.4,50.0,tv
C8,2016,35.7,32.6,26.5,48.6,tv
C8,2017,38.6,35.5,32.7,46.9,tv
C8,2018,39.7,35.0,33.4,45.9,tv
C8,2019,38.9,33.1,29.7,46.7,tv
C8,2020,36.9,31.8,29.6,43.4,tv
France Inter,2016,29.9,24.3,18.3,47.6,radio
France Inter,2017,32.2,26.6,26.8,41.2,radio
France Inter,2018,34.0,31.6,23.5,45.2,radio
France Inter,2019,40.9,35.4,29.8,40.9,radio
France Inter,2020,44.7,42.5,37.6,49.5,radio
RTL,2016,34.2,29.0,25.6,47.8,radio
RTL,2017,35.3,32.9,26.9,47.6,radio
RTL,2018,45.6,42.8,35.9,46.8,radio
RTL,2019,35.1,31.7,30.0,46.3,radio
RTL,2020,35.7,33.1,25.8,47.8,radio
Europe 1,2016,38.8,36.2,30.6,46.0,radio
Europe 1,2017,34.7,31.5,24.6,46.6,radio
Europe 1,2018,42.9,38.5,36.6,46.5,radio
Europe 1,2019,41.5,37.5,32.2,46.8,radio
Europe 1,2020,41.6,37.9,32.8,46.0,radio
RMC,2016,34.6,29.9,23.0,44.9,radio
RMC,2017,42.3,39.5,31.0,47.1,radio
RMC,2018,38.7,36.3,32.8,48.5,radio
RMC,2019,41.0,38.7,33.5,48.6,radio
RMC,2020,36.1,32.0,25.8,47.0,radio
