channel,year,month,date,theme,nb_sujets,pct_sujets,duration_seconds
TF1,2000,1,2000-01-01,Politique intérieure,39,21.53,1401.0
TF1,2000,1,2000-01-01,International,28,18.26,688.0
TF1,2000,1,2000-01-01,Économie,21,14.93,1037.0
TF1,2000,1,2000-01-01,Société,17,12.01,659.0
TF1,2000,1,2000-01-01,Faits divers,12,9.89,651.0
TF1,2000,1,2000-01-01,Sport,9,7.41,292.0
TF1,2000,1,2000-01-01,Culture,4,4.65,168.0
TF1,2000,1,2000-01-01,Environnement,5,3.87,212.0
TF1,2000,1,2000-01-01,Justice,6,3.29,143.0
TF1,2000,1,2000-01-01,Santé,6,2.12,108.0
TF1,2000,1,2000-01-01,Sciences & Techno,2,1.02,48.0
TF1,2000,1,2000-01-01,Météo,0,0.99,47.0
TF1,2000,1,2000-01-01,Défense,1,0.76,40.0
TF1,2000,1,2000-01-01,Autres,1,0.65,40.0
France 2,2000,1,2000-01-01,Politique intérieure,24,21.41,958.0
France 2,2000,1,2000-01-01,International,33,17.84,1086.0
France 2,2000,1,2000-01-01,Économie,19,14.47,642.0
France 2,2000,1,2000-01-01,Société,18,11.68,734.0
France 2,2000,1,2000-01-01,Faits divers,19,10.17,460.0
France 2,2000,1,2000-01-01,Sport,11,8.04,436.0
France 2,2000,1,2000-01-01,Culture,7,4.87,210.0
France 2,2000,1,2000-01-01,Environnement,11,4.34,252.0
France 2,2000,1,2000-01-01,Justice,4,2.81,170.0
France 2,2000,1,2000-01-01,Santé,4,2.03,84.0
France 2,2000,1,2000-01-01,Sciences & Techno,1,0.87,34.0
France 2,2000,1,2000-01-01,Météo,5,1.01,48.0
France 2,2000,1,2000-01-01,Défense,2,0.76,33.0
France 2,2000,1,2000-01-01,Autres,0,0.92,50.0
France 3,2000,1,2000-01-01,Politique intérieure,26,21.58,1230.0
France 3,2000,1,2000-01-01,International,28,17.67,790.0
France 3,2000,1,2000-01-01,Économie,17,15.25,790.0
France 3,2000,1,2000-01-01,Société,15,11.62,498.0
France 3,2000,1,2000-01-01,Faits divers,9,10.17,589.0
France 3,2000,1,2000-01-01,Sport,16,7.73,408.0
France 3,2000,1,2000-01-01,Culture,11,4.91,247.0
France 3,2000,1,2000-01-01,Environnement,8,4.3,290.0
France 3,2000,1,2000-01-01,Justice,2,2.88,147.0
France 3,2000,1,2000-01-01,Santé,1,1.72,91.0
France 3,2000,1,2000-01-01,Sciences & Techno,2,1.27,88.0
France 3,2000,1,2000-01-01,Météo,5,0.86,40.0
France 3,2000,1,2000-01-01,Défense,1,0.43,21.0
France 3,2000,1,2000-01-01,Autres,0,0.23,17.0
Arte,2000,1,2000-01-01,Politique intérieure,35,21.98,1470.0
Arte,2000,1,2000-01-01,International,25,17.52,1034.0
Arte,2000,1,2000-01-01,Économie,12,14.76,590.0
Arte,2000,1,2000-01-01,Société,23,11.61,817.0
Arte,2000,1,2000-01-01,Faits divers,14,9.77,496.0
Arte,2000,1,2000-01-01,Sport,13,7.8,496.0
Arte,2000,1,2000-01-01,Culture,9,5.06,295.0
Arte,2000,1,2000-01-01,Environnement,9,4.16,293.0
Arte,2000,1,2000-01-01,Justice,4,3.4,161.0
Arte,2000,1,2000-01-01,Santé,4,1.74,69.0
Arte,2000,1,2000-01-01,Sciences & Techno,1,1.06,56.0
Arte,2000,1,2000-01-01,Météo,3,0.89,46.0
Arte,2000,1,2000-01-01,Défense,0,0.95,61.0
Arte,2000,1,2000-01-01,Autres,0,0.22,11.0
M6,2000,1,2000-01-01,Politique intérieure,37,21.25,1520.0
M6,2000,1,2000-01-01,International,31,17.76,1015.0
M6,2000,1,2000-01-01,Économie,16,14.81,705.0
M6,2000,1,2000-01-01,Société,18,11.8,657.0
M6,2000,1,2000-01-01,Faits divers,10,9.67,600.0
M6,2000,1,2000-01-01,Sport,10,7.87,553.0
M6,2000,1,2000-01-01,Culture,11,5.63,319.0
M6,2000,1,2000-01-01,Environnement,6,3.5,200.0
M6,2000,1,2000-01-01,Justice,3,2.71,107.0
M6,2000,1,2000-01-01,Santé,6,2.04,84.0
M6,2000,1,2000-01-01,Sciences & Techno,2,1.24,63.0
M6,2000,1,2000-01-01,Météo,2,1.19,45.0
M6,2000,1,2000-01-01,Défense,1,0.39,24.0
M6,2000,1,2000-01-01,Autres,0,0.35,25.0
TF1,2000,2,2000-02-01,Politique intérieure,25,21.83,1161.0
TF1,2000,2,2000-02-01,International,28,17.71,648.0
TF1,2000,2,2000-02-01,Économie,25,14.87,805.0
TF1,2000,2,2000-02-01,Société,12,11.97,861.0
TF1,2000,2,2000-02-01,Faits divers,12,10.01,409.0
TF1,2000,2,2000-02-01,Sport,12,7.94,519.0
TF1,2000,2,2000-02-01,Culture,8,4.64,214.0
TF1,2000,2,2000-02-01,Environnement,7,3.44,176.0
TF1,2000,2,2000-02-01,Justice,3,2.72,182.0
TF1,2000,2,2000-02-01,Santé,5,2.28,147.0
TF1,2000,2,2000-02-01,Sciences & Techno,1,0.78,51.0
TF1,2000,2,2000-02-01,Météo,0,0.89,64.0
TF1,2000,2,2000-02-01,Défense,2,0.56,33.0
TF1,2000,2,2000-02-01,Autres,1,0.48,20.0
France 2,2000,2,2000-02-01,Politique intérieure,29,21.57,1509.0
France 2,2000,2,2000-02-01,International,22,17.88,677.0
France 2,2000,2,2000-02-01,Économie,23,14.84,985.0
France 2,2000,2,2000-02-01,Société,21,11.82,442.0
France 2,2000,2,2000-02-01,Faits divers,18,9.82,489.0
France 2,2000,2,2000-02-01,Sport,16,7.95,422.0
France 2,2000,2,2000-02-01,Culture,5,5.11,346.0
France 2,2000,2,2000-02-01,Environnement,8,3.98,270.0
France 2,2000,2,2000-02-01,Justice,7,3.01,183.0
France 2,2000,2,2000-02-01,Santé,2,1.58,110.0
France 2,2000,2,2000-02-01,Sciences & Techno,0,0.96,44.0
France 2,2000,2,2000-02-01,Météo,2,0.9,45.0
France 2,2000,2,2000-02-01,Défense,0,0.21,8.0
France 2,2000,2,2000-02-01,Autres,0,0.7,27.0
France 3,2000,2,2000-02-01,Politique intérieure,52,21.37,1233.0
France 3,2000,2,2000-02-01,International,18,17.56,1133.0
France 3,2000,2,2000-02-01,Économie,22,14.92,663.0
France 3,2000,2,2000-02-01,Société,17,11.62,475.0
France 3,2000,2,2000-02-01,Faits divers,17,9.82,580.0
France 3,2000,2,2000-02-01,Sport,15,7.42,429.0
France 3,2000,2,2000-02-01,Culture,7,5.14,271.0
France 3,2000,2,2000-02-01,Environnement,10,3.4,136.0
France 3,2000,2,2000-02-01,Justice,5,2.86,178.0
France 3,2000,2,2000-02-01,Santé,4,2.25,136.0
France 3,2000,2,2000-02-01,Sciences & Techno,4,0.81,51.0
France 3,2000,2,2000-02-01,Météo,3,1.25,46.0
France 3,2000,2,2000-02-01,Défense,1,0.06,4.0
France 3,2000,2,2000-02-01,Autres,0,0.08,5.0
Arte,2000,2,2000-02-01,Politique intérieure,22,21.63,1201.0
Arte,2000,2,2000-02-01,International,22,17.67,1175.0
Arte,2000,2,2000-02-01,Économie,21,14.39,825.0
Arte,2000,2,2000-02-01,Société,17,12.05,463.0
Arte,2000,2,2000-02-01,Faits divers,19,9.61,671.0
Arte,2000,2,2000-02-01,Sport,14,7.2,515.0
Arte,2000,2,2000-02-01,Culture,9,5.15,284.0
Arte,2000,2,2000-02-01,Environnement,10,3.88,193.0
Arte,2000,2,2000-02-01,Justice,4,3.03,120.0
Arte,2000,2,2000-02-01,Santé,1,2.64,171.0
Arte,2000,2,2000-02-01,Sciences & Techno,2,0.79,52.0
Arte,2000,2,2000-02-01,Météo,4,0.85,41.0
Arte,2000,2,2000-02-01,Défense,0,0.55,37.0
Arte,2000,2,2000-02-01,Autres,1,0.0,0.0
M6,2000,2,2000-02-01,Politique intérieure,35,21.52,1477.0
M6,2000,2,2000-02-01,International,33,17.28,953.0
M6,2000,2,2000-02-01,Économie,27,15.58,1057.0
M6,2000,2,2000-02-01,Société,16,11.59,767.0
M6,2000,2,2000-02-01,Faits divers,19,10.14,551.0
M6,2000,2,2000-02-01,Sport,12,8.1,348.0
M6,2000,2,2000-02-01,Culture,6,4.78,283.0
M6,2000,2,2000-02-01,Environnement,7,3.7,241.0
M6,2000,2,2000-02-01,Justice,5,3.17,199.0
M6,2000,2,2000-02-01,Santé,7,2.63,177.0
M6,2000,2,2000-02-01,Sciences & Techno,3,1.04,40.0
M6,2000,2,2000-02-01,Météo,2,1.16,73.0
M6,2000,2,2000-02-01,Défense,1,0.31,20.0
M6,2000,2,2000-02-01,Autres,0,0.51,25.0
TF1,2000,3,2000-03-01,Politique intérieure,26,21.01,1284.0
TF1,2000,3,2000-03-01,International,37,18.15,1187.0
TF1,2000,3,2000-03-01,Économie,19,15.01,658.0
TF1,2000,3,2000-03-01,Société,11,11.58,693.0
TF1,2000,3,2000-03-01,Faits divers,13,10.34,514.0
TF1,2000,3,2000-03-01,Sport,11,8.62,606.0
TF1,2000,3,2000-03-01,Culture,11,4.78,229.0
TF1,2000,3,2000-03-01,Environnement,3,4.05,194.0
TF1,2000,3,2000-03-01,Justice,4,3.36,221.0
TF1,2000,3,2000-03-01,Santé,0,2.29,96.0
TF1,2000,3,2000-03-01,Sciences & Techno,3,0.81,42.0
TF1,2000,3,2000-03-01,Météo,1,0.98,65.0
TF1,2000,3,2000-03-01,Défense,1,0.6,28.0
TF1,2000,3,2000-03-01,Autres,1,0.54,27.0
France 2,2000,3,2000-03-01,Politique intérieure,35,21.74,1237.0
France 2,2000,3,2000-03-01,International,33,17.55,987.0
France 2,2000,3,2000-03-01,Économie,22,14.77,911.0
France 2,2000,3,2000-03-01,Société,21,11.77,785.0
France 2,2000,3,2000-03-01,Faits divers,15,10.24,392.0
France 2,2000,3,2000-03-01,Sport,9,7.48,481.0
France 2,2000,3,2000-03-01,Culture,8,4.88,285.0
France 2,2000,3,2000-03-01,Environnement,1,4.55,279.0
France 2,2000,3,2000-03-01,Justice,6,3.15,211.0
France 2,2000,3,2000-03-01,Santé,5,1.7,104.0
France 2,2000,3,2000-03-01,Sciences & Techno,1,1.31,80.0
France 2,2000,3,2000-03-01,Météo,2,1.33,95.0
France 2,2000,3,2000-03-01,Défense,1,0.73,46.0
France 2,2000,3,2000-03-01,Autres,0,0.29,17.0
France 3,2000,3,2000-03-01,Politique intérieure,42,21.74,1524.0
France 3,2000,3,2000-03-01,International,22,17.98,686.0
