poids,age_groupe,tv_lineaire_freq,svod_usage,youtube_freq,rs_video_freq,radio_freq,podcast_freq,smart_tv,smartphone_video,annee_enquete
1.1676,15-24,0,0,1,1,0,1,0,1,2024
1.0182,15-24,0,0,1,1,0,1,0,1,2024
0.8229,15-24,0,1,1,1,0,1,0,1,2024
0.9728,15-24,0,1,1,1,1,0,1,1,2024
1.0577,15-24,1,1,1,1,0,0,1,1,2024
1.1133,15-24,1,1,1,1,0,0,0,0,2024
1.1789,15-24,1,0,1,1,0,0,1,1,2024
0.9031,15-24,0,0,0,1,0,0,0,1,2024
1.0168,15-24,1,0,1,1,0,1,0,1,2024
1.1796,15-24,0,1,1,1,0,0,1,1,2024
0.9125,15-24,0,0,1,1,0,0,0,0,2024
1.1754,15-24,0,0,1,1,1,1,1,1,2024
0.8058,15-24,0,0,1,0,0,1,1,1,2024
1.0944,15-24,0,0,0,1,0,0,0,1,2024
0.894,15-24,1,1,1,1,1,1,0,1,2024
0.9513,15-24,1,1,1,1,0,0,1,1,2024
1.1881,15-24,0,0,1,1,0,1,1,1,2024
0.9251,15-24,1,1,0,1,1,1,1,1,2024
1.1517,15-24,1,1,1,0,0,0,0,1,2024
1.1694,15-24,0,1,1,1,0,0,0,1,2024
0.9846,15-24,0,0,1,1,1,0,1,1,2024
0.8915,15-24,0,1,0,1,0,0,0,1,2024
0.832,15-24,0,1,1,0,1,0,1,1,2024
1.0195,15-24,0,1,1,0,0,1,0,1,2024
1.0858,15-24,0,1,1,1,0,1,0,1,2024
1.1677,15-24,0,0,1,1,0,1,0,1,2024
0.8906,15-24,0,1,1,1,1,1,0,1,2024
1.1212,15-24,0,1,1,0,1,0,0,1,2024
1.1108,15-24,1,1,1,1,0,0,0,1,2024
0.9576,15-24,1,1,1,1,1,0,0,1,2024
0.9842,15-24,0,1,1,1,0,0,1,1,2024
1.1115,15-24,0,1,0,1,0,0,1,1,2024
0.8573,15-24,0,0,1,1,1,0,1,1,2024
1.135,15-24,0,1,0,1,0,0,0,1,2024
0.9223,15-24,0,1,0,1,0,1,1,1,2024
0.8716,15-24,1,1,1,1,1,1,0,0,2024
0.9013,15-24,1,1,1,1,1,0,1,1,2024
0.9196,15-24,0,1,1,1,0,1,0,1,2024
0.9703,15-24,0,1,1,1,1,1,1,1,2024
0.9068,15-24,1,1,1,0,1,0,1,1,2024
